    amar
    comer
    partir
    falar
    estudar
    cantar
    correr
    vender
    beber
    escrever
    andar
    ficar
    chegar
    agir
    gostar
    brincar
    abrir
    viver
    comprar
    jogar
    corrigir
    receber
    passar
    viajar
    pensar
    conhecer
    assistir
    aprender
    dançar
    começar
    trabalhar
    encontrar
    precisar
    deixar
    dividir
    levar
    dever
    colorir
    voltar
    chamar
    voar
    pular
    entender
    passear
    nascer
    olhar
    parar
    achar
    usar
    lembrar
    dirigir
    esquecer
    morar
    acordar
    colocar
    proteger
    ganhar
    feder
    tomar
    esperar
    pegar
    conjugar
    descer
    entrar
    morrer
    fingir
    mexer
    contar
    possuir
    ajudar
    bater
    conversar
    cumprir
    mandar
    chover
    chorar
    continuar
    lavar
    doer
    suar
    doar
    desejar
    acabar
    imprimir
    existir
    sonhar
    decidir
    caminhar
    procurar
    pagar
    nadar
    falir
    atender
    acontecer
    mudar
    escolher
    entreter
    responder
    fechar
    almoçar
    crescer
    perdoar
    enviar
    desistir
    encher
    tornar
    participar
    parecer
    realizar
    vencer
    ligar
    avisar
    permitir
    terminar
    sentar
    demolir
    tirar
    buscar
    apresentar
    sofrer
    entregar
    casar
    criar
    levantar
    perceber
    adquirir
    perguntar
    agradecer
    convidar
    aceitar
    precaver
    tentar
    mostrar
    ensinar
    informar
    acreditar
    pentear
    visitar
    matar
    aparecer
    aproveitar
    beijar
    respeitar
    resolver
    tocar
    gritar
    incluir
    roer
    zoar
    surgir
